5.2 Cataracts      Use of corticosteroids may result in posterior subcapsular cataract formation.,result in is not a named entity
"5.3 Hepatic Effects    There have been postmarketing reports of fatal and nonfatal hepatic failure in patients taking NESINA, although some of the reports contain insufficient information necessary to establish the probable cause  [seeAdverse Reactions (6.2)]  .",fatal is an adverse reaction entity
"5.3 Hepatic Effects    There have been postmarketing reports of fatal and nonfatal hepatic failure in patients taking NESINA, although some of the reports contain insufficient information necessary to establish the probable cause  [seeAdverse Reactions (6.2)]  .",information necessary to is not a named entity
"In a monotherapy study comparing NESINA to a sulfonylurea in elderly patients, the incidence of hypoglycemia was 5.4% with NESINA compared to 26% with glipizide  (Table 2)  .",hypoglycemia is an adverse reaction entity
"In a monotherapy study comparing NESINA to a sulfonylurea in elderly patients, the incidence of hypoglycemia was 5.4% with NESINA compared to 26% with glipizide  (Table 2)  .",5.4 is not a named entity
"These reactions include anaphylaxis, angioedema and severe cutaneous adverse reactions, including Stevens-Johnson syndrome.",cutaneous adverse reactions is an adverse reaction entity
"These reactions include anaphylaxis, angioedema and severe cutaneous adverse reactions, including Stevens-Johnson syndrome.","reactions , is not a named entity"
"These reactions include anaphylaxis, angioedema and severe cutaneous adverse reactions, including Stevens-Johnson syndrome.",", angioedema is not a named entity"
"These reactions include anaphylaxis, angioedema and severe cutaneous adverse reactions, including Stevens-Johnson syndrome.",Stevens-Johnson syndrome is an adverse reaction entity
"These reactions include anaphylaxis, angioedema and severe cutaneous adverse reactions, including Stevens-Johnson syndrome.","anaphylaxis , angioedema is not a named entity"
"These reactions include anaphylaxis, angioedema and severe cutaneous adverse reactions, including Stevens-Johnson syndrome.",angioedema is an adverse reaction entity
"These reactions include anaphylaxis, angioedema and severe cutaneous adverse reactions, including Stevens-Johnson syndrome.",anaphylaxis is an adverse reaction entity
"These reactions include anaphylaxis, angioedema and severe cutaneous adverse reactions, including Stevens-Johnson syndrome.",reactions is not a named entity
"6 ADVERSE REACTIONS    EXCERPT:   Common adverse reactions (reported in >=4% of patients treated with NESINA 25 mg and more frequently than in patients who received placebo) are: nasopharyngitis, headache and upper respiratory tract infection.",in is not a named entity
"6 ADVERSE REACTIONS    EXCERPT:   Common adverse reactions (reported in >=4% of patients treated with NESINA 25 mg and more frequently than in patients who received placebo) are: nasopharyngitis, headache and upper respiratory tract infection.",headache is an adverse reaction entity
"6 ADVERSE REACTIONS    EXCERPT:   Common adverse reactions (reported in >=4% of patients treated with NESINA 25 mg and more frequently than in patients who received placebo) are: nasopharyngitis, headache and upper respiratory tract infection.",received placebo is not a named entity
"6 ADVERSE REACTIONS    EXCERPT:   Common adverse reactions (reported in >=4% of patients treated with NESINA 25 mg and more frequently than in patients who received placebo) are: nasopharyngitis, headache and upper respiratory tract infection.",in > =4 is not a named entity
"6 ADVERSE REACTIONS    EXCERPT:   Common adverse reactions (reported in >=4% of patients treated with NESINA 25 mg and more frequently than in patients who received placebo) are: nasopharyngitis, headache and upper respiratory tract infection.",upper respiratory tract infection is an adverse reaction entity
"6 ADVERSE REACTIONS    EXCERPT:   Common adverse reactions (reported in >=4% of patients treated with NESINA 25 mg and more frequently than in patients who received placebo) are: nasopharyngitis, headache and upper respiratory tract infection.",nasopharyngitis is an adverse reaction entity
"Hypersensitivity reactions including anaphylaxis, angioedema, rash, urticaria and severe cutaneous adverse reactions, including Stevens-Johnson syndrome, hepatic enzyme elevations, fulminant hepatic failure, severe and disabling arthralgia and acute pancreatitis  [see Warnings and Precautions (5.1,5.2,5.3,5.5)]  .",Hypersensitivity reactions including is not a named entity
"Hypersensitivity reactions including anaphylaxis, angioedema, rash, urticaria and severe cutaneous adverse reactions, including Stevens-Johnson syndrome, hepatic enzyme elevations, fulminant hepatic failure, severe and disabling arthralgia and acute pancreatitis  [see Warnings and Precautions (5.1,5.2,5.3,5.5)]  .",reactions is not a named entity
"Hypersensitivity reactions including anaphylaxis, angioedema, rash, urticaria and severe cutaneous adverse reactions, including Stevens-Johnson syndrome, hepatic enzyme elevations, fulminant hepatic failure, severe and disabling arthralgia and acute pancreatitis  [see Warnings and Precautions (5.1,5.2,5.3,5.5)]  .",rash is an adverse reaction entity
"Hypersensitivity reactions including anaphylaxis, angioedema, rash, urticaria and severe cutaneous adverse reactions, including Stevens-Johnson syndrome, hepatic enzyme elevations, fulminant hepatic failure, severe and disabling arthralgia and acute pancreatitis  [see Warnings and Precautions (5.1,5.2,5.3,5.5)]  .",angioedema is an adverse reaction entity
"Hypersensitivity reactions including anaphylaxis, angioedema, rash, urticaria and severe cutaneous adverse reactions, including Stevens-Johnson syndrome, hepatic enzyme elevations, fulminant hepatic failure, severe and disabling arthralgia and acute pancreatitis  [see Warnings and Precautions (5.1,5.2,5.3,5.5)]  .","hepatic failure , is not a named entity"
"Hypersensitivity reactions including anaphylaxis, angioedema, rash, urticaria and severe cutaneous adverse reactions, including Stevens-Johnson syndrome, hepatic enzyme elevations, fulminant hepatic failure, severe and disabling arthralgia and acute pancreatitis  [see Warnings and Precautions (5.1,5.2,5.3,5.5)]  .",", urticaria is not a named entity"
"Hypersensitivity reactions including anaphylaxis, angioedema, rash, urticaria and severe cutaneous adverse reactions, including Stevens-Johnson syndrome, hepatic enzyme elevations, fulminant hepatic failure, severe and disabling arthralgia and acute pancreatitis  [see Warnings and Precautions (5.1,5.2,5.3,5.5)]  .",arthralgia is an adverse reaction entity
"Hypersensitivity reactions including anaphylaxis, angioedema, rash, urticaria and severe cutaneous adverse reactions, including Stevens-Johnson syndrome, hepatic enzyme elevations, fulminant hepatic failure, severe and disabling arthralgia and acute pancreatitis  [see Warnings and Precautions (5.1,5.2,5.3,5.5)]  .",Hypersensitivity reactions is an adverse reaction entity
"Hypersensitivity reactions including anaphylaxis, angioedema, rash, urticaria and severe cutaneous adverse reactions, including Stevens-Johnson syndrome, hepatic enzyme elevations, fulminant hepatic failure, severe and disabling arthralgia and acute pancreatitis  [see Warnings and Precautions (5.1,5.2,5.3,5.5)]  .",anaphylaxis is an adverse reaction entity
"Hypersensitivity reactions including anaphylaxis, angioedema, rash, urticaria and severe cutaneous adverse reactions, including Stevens-Johnson syndrome, hepatic enzyme elevations, fulminant hepatic failure, severe and disabling arthralgia and acute pancreatitis  [see Warnings and Precautions (5.1,5.2,5.3,5.5)]  .",severe and is not a named entity
"Hypersensitivity reactions including anaphylaxis, angioedema, rash, urticaria and severe cutaneous adverse reactions, including Stevens-Johnson syndrome, hepatic enzyme elevations, fulminant hepatic failure, severe and disabling arthralgia and acute pancreatitis  [see Warnings and Precautions (5.1,5.2,5.3,5.5)]  .",fulminant hepatic failure is an adverse reaction entity
"Hypersensitivity reactions including anaphylaxis, angioedema, rash, urticaria and severe cutaneous adverse reactions, including Stevens-Johnson syndrome, hepatic enzyme elevations, fulminant hepatic failure, severe and disabling arthralgia and acute pancreatitis  [see Warnings and Precautions (5.1,5.2,5.3,5.5)]  .",pancreatitis is not a named entity
"Hypersensitivity reactions including anaphylaxis, angioedema, rash, urticaria and severe cutaneous adverse reactions, including Stevens-Johnson syndrome, hepatic enzyme elevations, fulminant hepatic failure, severe and disabling arthralgia and acute pancreatitis  [see Warnings and Precautions (5.1,5.2,5.3,5.5)]  .",Stevens-Johnson syndrome is an adverse reaction entity
"Hypersensitivity reactions including anaphylaxis, angioedema, rash, urticaria and severe cutaneous adverse reactions, including Stevens-Johnson syndrome, hepatic enzyme elevations, fulminant hepatic failure, severe and disabling arthralgia and acute pancreatitis  [see Warnings and Precautions (5.1,5.2,5.3,5.5)]  .",] is not a named entity
